"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YPR127W",-2.49215961279606,4.15825208006095,177.733085515649,2.25742682214145e-09,2.51387050913672e-07,NA
"YDR085C",-2.8354229529574,3.84030129385601,174.073589448087,2.59217229416662e-09,2.83004222233721e-07,"AFR1"
"YMR319C",3.06148467774759,3.04808994012472,170.352423789445,2.9961266421974e-09,3.20816021995291e-07,"FET4"
"YNR034W-A",-6.52857471450258,8.46577421237307,169.535522818809,3.07084768302226e-09,3.22612828284301e-07,"EGO4"
"YPL201C",-5.08787757286199,1.98184045474918,165.791424590301,3.20397726712376e-09,3.26030862574467e-07,"YIG1"
"YHR183W",2.51931331784143,5.09487866522717,168.303731552875,3.22049163821761e-09,3.26030862574467e-07,"GND1"
"YER067W",-3.60757608027627,6.38739615189776,166.024908109959,3.51952685887906e-09,3.49941527682832e-07,"RGI1"
"YDR261W-A",2.62947230406478,4.13873354632059,164.726825467278,3.7070119496489e-09,3.62116535713071e-07,NA
"YLR092W",-3.06302689201319,4.12102026232028,164.135829605467,3.79630853955307e-09,3.64445619797094e-07,"SUL2"
"YBR054W",2.48322232893987,7.15145211032393,163.42981816869,3.89950968018114e-09,3.68007964394044e-07,"YRO2"
"YIL177C",3.01582642841936,1.75968711854462,163.342255737039,4.08309828159521e-09,3.78911520532035e-07,NA
"YPR036W-A",-3.41768022368073,6.61195288151724,161.862617238662,4.15247867544724e-09,3.79032807621152e-07,"SPO24"
"YPR191W",-2.56566975661272,6.45654228528619,160.494262241209,4.38767091773003e-09,3.93960176980627e-07,"QCR2"
"YLL026W",-3.44853433289534,8.13799843025267,160.104746433662,4.45752355419891e-09,3.93960176980627e-07,"HSP104"
"YDR258C",-3.18947667802657,7.22764842465509,159.469061482198,4.57431692736654e-09,3.97965572680889e-07,"HSP78"
"YMR088C",3.88166770385292,4.52082265640318,158.797316710772,4.70967397920736e-09,4.03437918711178e-07,"VBA1"
"YGR243W",-2.65372062681768,4.20917416292215,157.556681421253,4.9502508971238e-09,4.17621166593716e-07,"MPC3"
"YBR072W",-4.13964116399475,6.91700612863701,156.52574744243,5.16337054805746e-09,4.29099212113193e-07,"HSP26"
"YCL064C",3.28689430014147,2.3106458686746,156.018761779733,5.40204843190016e-09,4.42332436306178e-07,"CHA1"
"YBL015W",-2.28041900172058,4.09869526041132,154.982659619037,5.50862082424803e-09,4.44521749991494e-07,"ACH1"
"YPR035W",2.87142550463428,5.44450858453388,153.677669080453,5.81710062178813e-09,4.62708803744519e-07,"GLN1"
"YER053C",-2.69414975857271,7.61159177228686,152.22667223086,6.1843000977425e-09,4.84988492172257e-07,"PIC2"
"YMR105C",-2.23918946160649,4.33038674845798,150.202368195004,6.74888291067493e-09,5.21913611758861e-07,"PGM2"
"YDL059C",-3.44582278294281,2.48969546430905,149.391547666153,7.04763440039739e-09,5.32071437232206e-07,"RAD59"
"YPL056C",-3.11365614073466,2.425198881006,149.123601853609,7.13485033667878e-09,5.32071437232206e-07,"LCL1"
"YNR067C",-2.56229495066108,3.57549000194117,148.826566577923,7.16691052306312e-09,5.32071437232206e-07,"DSE4"
"YMR002W",-2.17746915640818,4.52573550496709,147.033442742458,7.74306757270601e-09,5.67281582168777e-07,"MIX17"
