"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YLL046C",7.22616906671629,0.995858198793088,160.408001361923,4.11136940296538e-09,3.80280266122102e-07,"RNP1"
"YNL277W-A",6.66472318099549,0.611370190752012,163.186233168255,4.20965252892048e-09,3.80280266122102e-07,NA
"YEL011W",4.4526794843645,5.40683605768033,161.065107064608,4.28822441902721e-09,3.80280266122102e-07,"GLC3"
"YPR191W",4.03721346564854,6.45654228528619,160.977358945265,4.30274008004533e-09,3.80280266122102e-07,"QCR2"
"YOR247W",4.34701967830206,3.50169189528876,157.853206876811,4.90764034701075e-09,4.26964710189935e-07,"SRL1"
"YKR011C",5.0380479335803,3.93875975148968,157.265655116984,5.01142614666546e-09,4.29286473609743e-07,NA
"YBR054W",-4.39062785611544,7.15145211032393,151.497121078592,6.37971505237886e-09,5.34115100675865e-07,"YRO2"
"YPR103W",3.5625873266355,4.47889528469054,151.331852612912,6.42703156344881e-09,5.34115100675865e-07,"PRE2"
"YER054C",4.34199022052131,3.68694978164147,150.750866189242,6.59322484084733e-09,5.39868763438793e-07,"GIP2"
"YOL126C",-4.67210631549424,3.34390460255835,150.278816966848,6.74838513036766e-09,5.44565339215756e-07,"MDH2"
"YLR258W",3.35554587407814,4.77333382875108,149.063175371146,7.08638844208204e-09,5.63671583507326e-07,"GSY2"
"YER053C",4.15824071347301,7.61159177228686,148.407304907861,7.28932597457474e-09,5.71647422907495e-07,"PIC2"
"YNL014W",4.81780222553599,3.16284925402802,146.55844908889,7.92010520153837e-09,6.12488135585634e-07,"HEF3"
"YNL173C",4.12059593427825,3.01307669597811,144.975272031772,8.4978559837057e-09,6.2413024110715e-07,"MDG1"
"YDR070C",6.40960678863474,5.77211299146206,144.859098913581,8.52692248847865e-09,6.2413024110715e-07,"FMP16"
"YOR273C",-4.85144314213016,4.51300750080978,144.700156180453,8.59814352699419e-09,6.2413024110715e-07,"TPO4"
"YKL085W",4.25081225255976,6.7839352549236,144.654298672377,8.6002113403314e-09,6.2413024110715e-07,"MDH1"
"YHR176W",4.80848731943113,2.84312572644204,144.637765240769,8.63111145209241e-09,6.2413024110715e-07,"FMO1"
"YAL038W",-4.32785965432769,6.73523984009026,143.815355318978,8.92922507257235e-09,6.37409297488242e-07,"CDC19"
"YLR190W",4.18270552858514,2.82032120761156,143.077069233049,9.25336436648233e-09,6.52186491045236e-07,"MMR1"
"YBR169C",3.80408930997835,5.36503546615096,142.000327976775,9.69111897474891e-09,6.74501880642524e-07,"SSE2"
"YMR030W",6.0805805583169,3.03137204634805,141.698636679519,9.8654112379004e-09,6.78155676205302e-07,"RSF1"
"YOR065W",4.6649395705374,5.16315003026247,140.955680611888,1.01637606658053e-08,6.90144138868344e-07,"CYT1"
"YNR034W-A",8.01802544258736,8.46577421237307,140.369428306198,1.04407334399399e-08,7.00409684260062e-07,"EGO4"
"YLR270W",3.33447785922703,4.40559322713493,140.026962418446,1.06071399220704e-08,7.02764800947974e-07,"DCS1"
"YDR174W",3.63916804690997,3.61051932382399,139.790483580192,1.07282701294141e-08,7.02764800947974e-07,"HMO1"
"YNCJ0028C",4.41612271029063,1.72759584599973,139.521897209651,1.09978094714337e-08,7.07133117367569e-07,NA
"YOR285W",3.89744159882202,4.60384441768727,139.140545005669,1.10489549588683e-08,7.07133117367569e-07,"RDL1"
"YHR183W",-4.1626745644214,5.09487866522717,137.590294418181,1.18726537449804e-08,7.51215182409667e-07,"GND1"
"YJR120W",5.02020372790568,2.78551059960335,137.36155721869,1.20543833223218e-08,7.54143891445931e-07,NA
"YPL265W",-5.62904050824694,3.96382672682101,136.989350338759,1.22393696691551e-08,7.57209003531727e-07,"DIP5"
"YLR303W",4.26484169106297,5.88151719520923,136.617799794274,1.24250695278871e-08,7.60250408035996e-07,"MET17"
"YMR186W",3.86621884516722,7.38626907002295,135.354249403777,1.31862140306051e-08,7.9805260567836e-07,"HSC82"
"YGR243W",3.83475219459467,4.20917416292215,134.879936711242,1.34938907010501e-08,8.07892294875771e-07,"MPC3"
"YPR030W",3.82248286191177,3.75475564974317,134.447760083228,1.37765657866254e-08,8.16041684041809e-07,"CSR2"
"YBR286W",3.44605140762408,5.75816756172349,133.772655076166,1.42186173739308e-08,8.33360647768913e-07,"APE3"
"YBR050C",6.2327344701576,2.7378551588016,132.199512046502,1.54294152340847e-08,8.9490608357691e-07,"REG2"
"YNL036W",3.61131187938062,4.81106501868566,131.741701974735,1.56913747002702e-08,9.00717261145408e-07,"NCE103"
"YKL148C",3.58470976815706,5.78359992281917,130.677142337702,1.65169177356118e-08,9.3843059134578e-07,"SDH1"
"YDR524W-C",4.14495469363744,6.51440920101982,127.366721632634,1.94568335917676e-08,1.09429948928244e-06,NA
"YHL016C",-4.64845051669557,3.2040044808463,126.96010719264,1.99141352820377e-08,1.10881905250386e-06,"DUR3"
"YGR125W",-3.48266422375434,5.53229720449454,126.558597403781,2.0265656518626e-08,1.11721955936346e-06,NA
"YPL092W",3.37623392794458,4.20424887562834,126.166309775556,2.06755920579001e-08,1.12864408410184e-06,"SSU1"
"YJR094C",5.38947553133468,0.891618768316861,126.298344784495,2.11631749372015e-08,1.1440442529159e-06,"IME1"
"YIL136W",4.19383336567324,5.31782545561144,125.132551509641,2.17820480800251e-08,1.15722235970801e-06,"OM45"
"YDL246C",4.32279171374194,1.90219712808866,125.258102871753,2.18226199298385e-08,1.15722235970801e-06,"SOR2"
"YGR142W",8.26083079375,7.03495173767641,124.429186160929,2.25864167140195e-08,1.18642611569491e-06,"BTN2"
"YJL217W",13.3232052419856,-0.389515285939012,120.607895854466,2.30193132170884e-08,1.19786482236213e-06,"REE1"
"YJL102W",3.09201822530394,3.63225144734895,123.393833814091,2.38230050809569e-08,1.22135472133767e-06,"MEF2"
"YHR027C",3.12456531386721,5.51431924080003,123.197155715873,2.40507120527215e-08,1.22135472133767e-06,"RPN1"
"YPL201C",6.03552181696936,1.98184045474918,121.273589685374,2.43626242063311e-08,1.22135472133767e-06,"YIG1"
"YDL079C",4.28237457986143,3.1773722438559,122.934002987367,2.44144813732434e-08,1.22135472133767e-06,"MRK1"
"YLR327C",8.31263411513195,5.85290881129871,122.819136846389,2.45674800269073e-08,1.22135472133767e-06,"TMA10"
"YDL130W-A",6.34672391098453,5.2650722702611,121.330294309162,2.65122461909068e-08,1.30637333443335e-06,"STF1"
"YJR159W",4.2034557719323,1.93302883092346,120.374857382754,2.80647630188173e-08,1.37074210955065e-06,"SOR1"
"YDR171W",5.14951886559529,6.70055521168738,118.833883097573,3.02358521808887e-08,1.46394108646251e-06,"HSP42"
"YKR058W",4.81063982219068,3.20676686628026,117.469487472613,3.2604543039642e-08,1.55328746236384e-06,"GLG1"
"YMR015C",-5.93435091204048,4.69659429892923,117.423893781005,3.26391223233782e-08,1.55328746236384e-06,"ERG5"
"YPL018W",3.359821750791,2.45969538091962,117.156428426775,3.32546584459008e-08,1.56916896802352e-06,"CTF19"
"YMR088C",-6.09265230204734,4.52082265640318,115.206454940144,3.68402513995726e-08,1.72375226716656e-06,"VBA1"
