"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YNL129W",2.10260719765161,1.48980361135051,94.5147776629778,1.29288790793958e-07,7.05764693275256e-06,"NRK1"
"YOR348C",2.17960899035432,4.9621620185364,93.866633893752,1.32307420499947e-07,7.15230793537576e-06,"PUT4"
"YGL055W",1.97836915404902,6.91087200587894,93.6492164569308,1.34198000420708e-07,7.18475448406253e-06,"OLE1"
"YKL016C",-1.65749311782408,5.66224796049621,92.942149392051,1.4060278506425e-07,7.45596483083563e-06,"ATP7"
"YPR202W",4.31506503162902,0.137065570545236,80.3623371108047,1.47080855084556e-07,7.63580157941109e-06,NA
"YPR167C",-2.21587325094135,3.64087537376868,92.3049863756723,1.47121264902381e-07,7.63580157941109e-06,"MET16"
"YOR393W",2.94374040543259,1.98458176080833,92.4122086067376,1.48108220290301e-07,7.63580157941109e-06,"ERR1"
"YOR317W",1.58178676281854,4.79832671568878,91.7905363590747,1.51845116134431e-07,7.71315543508938e-06,"FAA1"
"YAR027W",-4.35099891086604,0.761745887392758,88.3935835640215,1.52379148322527e-07,7.71315543508938e-06,"UIP3"
"YOR386W",5.52885950567488,1.07937962517744,96.8924402079584,1.55072828602209e-07,7.77878837528918e-06,"PHR1"
"YPL283C",2.38345763496332,2.74021664000208,90.7115970736203,1.6384492108457e-07,8.14543321963291e-06,"YRF1-7"
"YDR261W-A",1.84982214064513,4.13873354632059,89.9194415505303,1.72429733877928e-07,8.49636069232128e-06,NA
"YPL281C",2.94374040543259,1.9843977576102,89.6946805248894,1.77899680276661e-07,8.6889949103548e-06,"ERR2"
"YGR256W",1.99029264175762,3.9264829897678,88.7425205886487,1.86916824415499e-07,9.00247342106951e-06,"GND2"
"YAL061W",1.78519724443878,3.28801102424509,88.7000502442281,1.87551529605615e-07,9.00247342106951e-06,"BDH2"
"YPL223C",2.44185189030727,3.31741336727122,88.2852738534887,1.93122611810898e-07,9.14434738910315e-06,"GRE1"
"YMR323W",2.95536390808402,1.71889316769837,88.5394586637864,1.93791844812172e-07,9.14434738910315e-06,"ERR3"
