"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YBR294W",2.11336241907237,3.00894578219243,80.4064207649845,3.41228774559053e-07,1.71167731238271e-05,"SUL1"
"YMR246W",3.06838542657003,3.1770315146894,80.1753469191417,3.49249819865833e-07,1.73627053304728e-05,"FAA4"
"YBR214W",-1.81782217577932,3.31694832830608,79.7478370580394,3.58376877980482e-07,1.76587828017285e-05,"SDS24"
"YJL161W",-2.3478968768036,1.28114342461169,79.7747988533649,3.63945493821541e-07,1.7767201720071e-05,"FMP33"
"YLR109W",-2.18583139494479,4.22930086985989,79.4304906784961,3.66959087250029e-07,1.7767201720071e-05,"AHP1"
"YOR178C",-1.50999315378472,5.63068510320748,78.9841552601883,3.79561160325133e-07,1.81047920298982e-05,"GAC1"
"YMR169C",-1.8837351914381,3.15705665190728,78.9680268680234,3.80434746317905e-07,1.81047920298982e-05,"ALD3"
"YPR103W",-1.56700884409947,4.47889528469054,78.3300749103252,3.99164375355803e-07,1.8835146118484e-05,"PRE2"
"YBR050C",-3.02420182305175,2.7378551588016,78.0964209601701,4.08109344909643e-07,1.90954019534193e-05,"REG2"
"YKL165C",1.9569291498146,2.63420752533645,77.138001737953,4.38772749109915e-07,2.03590555587001e-05,"MCD4"
"YGR236C",-2.85566551730449,4.0225039813721,76.884417409982,4.46707851488333e-07,2.05559447693144e-05,"SPG1"
"YLR056W",2.42591114369308,4.16001599336923,76.348366270821,4.65905922759897e-07,2.12482545401577e-05,"ERG3"
"YDR463W",-1.80273416284423,3.27400870189618,76.2551594210171,4.69384933268571e-07,2.12482545401577e-05,"STP1"
"YLL040C",-1.47518199206652,5.69967722918751,75.8560650487522,4.84072335089289e-07,2.17364093691707e-05,"VPS13"
"YDR388W",-1.70162172143138,3.53294942019037,75.4484883690062,5.00223448675314e-07,2.22819532977932e-05,"RVS167"
"YJL158C",-1.68723391878716,3.634230218799,75.1283992606268,5.14154771850858e-07,2.27207442036951e-05,"CIS3"
